FECHA,HORA,MAGNITUD,LATITUD,LONGITUD,LOCALIZACION,
13/08/2019,04:33:32,3.4,19.33,-104.09,25,"33 km al NOROESTE de COQUIMATLAN, COL"
13/08/2019,19:55:28,3.5,19.53,-103.97,30,"38 km al NOROESTE de VILLA DE ALVAREZ, COL"
18/08/2019,06:08:00,3.5,19.34,-104.03,13,"28 km al NOROESTE de COQUIMATLAN, COL"
18/08/2019,11:14:24,3.4,19.32,-104.24,8,"31 km al NORESTE de MANZANILLO, COL"
20/08/2019,14:46:12,3.3,19.21,-104.11,36,"28 km al NORESTE de MANZANILLO, COL"
21/08/2019,05:08:19,3.2,19.11,-104.01,17,"20 km al NORTE de CD DE ARMERIA, COL"
21/08/2019,14:43:37,3.5,18.94,-104.32,29,"12 km al SUR de MANZANILLO, COL"
21/08/2019,15:16:56,3.4,19,-104.21,10,"13 km al SURESTE de MANZANILLO, COL"
22/08/2019,11:02:21,3.6,18.98,-104.56,9,"27 km al SUROESTE de MANZANILLO, COL"
23/08/2019,06:09:07,3.8,19.3,-104.25,7,"29 km al NORTE de MANZANILLO, COL"
28/08/2019,12:33:58,3.6,19.18,-104.04,3,"25 km al OESTE de COQUIMATLAN, COL"
28/08/2019,19:46:55,3.5,19.3,-104.26,6,"29 km al NORTE de MANZANILLO, COL"
30/08/2019,02:32:45,3.6,19.37,-103.85,30,"16 km al NOROESTE de VILLA DE ALVAREZ, COL"
03/09/2019,13:55:46,3.5,19.32,-104.07,11,"31 km al NOROESTE de COQUIMATLAN, COL"
04/09/2019,19:18:02,3.6,19.38,-104.1,5,"37 km al NOROESTE de COQUIMATLAN, COL"
05/09/2019,01:42:48,3.3,19.46,-103.9,35,"27 km al NOROESTE de VILLA DE ALVAREZ, COL"
10/09/2019,22:30:40,3.8,19.32,-104.23,8,"31 km al NORESTE de MANZANILLO, COL"
13/09/2019,12:00:34,3.3,19.43,-104.08,14,"39 km al NOROESTE de COQUIMATLAN, COL"
14/09/2019,16:12:18,3.6,19.38,-104.07,12,"34 km al NOROESTE de COQUIMATLAN, COL"
15/09/2019,08:40:21,3.6,19.12,-104.18,3,"16 km al NORESTE de MANZANILLO, COL"
15/09/2019,16:42:00,3.6,19.1,-104.45,13,"15 km al NOROESTE de MANZANILLO, COL"
16/09/2019,17:04:18,3.8,19.22,-104.35,48,"19 km al NORTE de MANZANILLO, COL"
16/09/2019,23:26:29,3.5,19.39,-103.99,28,"28 km al NOROESTE de COQUIMATLAN, COL"
17/09/2019,11:49:05,3.4,19.06,-103.93,23,"15 km al NORESTE de CD DE ARMERIA, COL"
17/09/2019,16:26:34,3.5,19.38,-104.13,8,"39 km al NOROESTE de COQUIMATLAN, COL"
18/09/2019,15:24:27,3.3,19.44,-103.88,40,"24 km al NOROESTE de VILLA DE ALVAREZ, COL"
20/09/2019,00:19:26,3.5,19.08,-104.17,7,"15 km al ESTE de MANZANILLO, COL"
